age,poem_date,sex,text,Unnamed: 0,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
,22. des 2004,,"The sky is ink-black, the moon is a paper cut-out from a bad b&w movie and the fog covers the sea like the thang huging it's newly sunken son.I'm thirsty yet dare not drink, for the only cup that I have siped of tonight is the dark goblet of depression, it's taste still vile and bitter in my mouth.I feel like the razor must feel, when it's cut has already wanished, both useless and expendable, yet I sence this urgency, creeping soundlessly and hidden in the torn fabric of reality.The dark and gloomy cavern that holds my ego captive blackens as my shadow looms over it, watching, waiting hungerly.I'm sick of all the bullshit that has burrowed it's way trough my skin over all these years, yet do not lift a finger when memories flicker,for I am equaly as tired.Yet I still go on, still draw breath, still pump blood trough this trap of flesh, for I know the day will eventualy come, it's dawn both welcome and blinding.But for now, I'm tired, and tired I will remain, at least for a little while while…..",147,147,0.0,0.5348,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['paper', 'cut', 'bad', 'movie', 'fog', 'cover', 'sea', 'hug', 'newly', 'sink', 'son', 'thirsty', 'dare', 'sip', 'tonight', 'dark', 'goblet', 'depression', 'taste', 'still', 'vile', 'bitter', 'mouth', 'feel', 'razor', 'must', 'feel', 'cut', 'already', 'wanishe', 'useless', 'expendable', 'sence', 'urgency', 'creep', 'soundlessly', 'hide', 'tear', 'fabric', 'reality', 'gloomy', 'hold', 'ego', 'captive', 'blacken', 'shadow', 'loom', 'watch', 'wait', 'hungerly', 'sick', 'bullshit', 'burrow', 'way', 'trough', 'skin', 'year', 'lift', 'finger', 'memorie', 'tired', 'still', 'go', 'still', 'draw', 'breath', 'still', 'pump', 'blood', 'trap', 'flesh', 'come', 'dawn', 'welcome', 'blind', 'tired', 'tired', 'remain', 'least', 'little']"
,31. júl 2003,,"Why are we afraid of the darkness,when iluminated in light?Why can't we even get closer,when whe have cast of all fright?Why should we suffer,when not at work?Why should we work,when there is no praise to put?Why dont we lie down,and embraise the gloom?Get closer together,and cast of our fears?Well, it's not easy being a speciescovered in tears!Whe did not ask for this,and whe do not need thisabomination they call life and death!A slave in both states, of need and fear.A slave to idieals that we do not share.Cathegorised till the deep-blue end,whitch will be most likely by our own hand.God the dog died, and became a political tool,all for the making, none for the caring,from an artist to a santa-claus,for grown-up children.Whell, I have newer fealt heat in the light.I have always bean frighened in dark.I have never been shown how to love.Like a dog I work for a pat on the back.Rewards newer come for those left behind….I feel sick…. :(",148,148,1.0,0.5333,"feel, make, life, day, die, live, give, thing, find, cry","['cry', 'meplease', 'diedont', 'leave', 'lose', 'insideyoull', 'never', 'forget', 'girl', 'die', 'hundar']"
, 4. júl 2003,,"I used to sit here quitlyIn the corners shadow.But now It seams, that I've turnedthe table full circle,just to bring you down to my feat.Now lick-em!Squeel ‘lil Piggy-Piggy Squeel!Now look at you, ya little pup’sobin', squirmin', prayin'.Praying to your petty Dog,Your min by every minuet.And as the golden shower drips,you drink it!Squeel ‘lil Piggy-Piggy Squeel!And as your sence of sanityshaters like the glass.And as I’m gona call it quit's,still, ya' beg for more,wriggle'n on the floor.Whell, you can have what I've droped,On the cold-stoned floor!Squeel ‘lil Piggy-Piggy Squeel!And pleedin’ begin' prayin,sence of self has gone.Now I'm the Dog, and your my pup'begin' me for more.And In your love, I'll pet you,as you eat my feeces,from the cold-sroned floor! Squeel 'lil Piggy-Piggy Squeel!",149,149,0.0,0.5354,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['sand', 'year', 'old', 'feel', 'warm', 'dark', 'toe', 'knee', 'buckle', 'lip', 'intervene', 'side', 'suck', 'dirty', 'fluid', 'disgusting', 'cloth', 'side', 'hard', 'still', 'hot', 'metal', 'petrify', 'little', 'girl', 'bleeding', 'die', 'side', 'last', 'feel', 'alone', 'dark', 'spit', 'suck', 'human', 'meat', 'cone', 'side', 'offer', 'cheek', 'heart', 'pounding', 'face', 'bleed', 'unable', 'speak', 'side', 'call', 'death', 'ever', 'feel', 'rest', 'assure', 'never', 'leave', 'side']"
39.0,19. jan 2002,karlmaður,"In my dreamsI see you.You are sweetlike sugarbabe.But I don´t careabout myselfbecouse youare mine.Like in the warI wait for you,here in my dream.But you are blind,don´t see me.I cry,tears of sadstream down my face.I die…",150,150,0.0,0.581,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['softly', 'mind', 'stronglisten', 'listen', 'walk', 'wear', 'heelscan', 'shut', 'child', 'one', 'know', 'open', 'eyesi', 'always', 'pray', 'stare', 'moment', 'death', 'carefaith', 'manual', 'guidestill', 'think', 'little', 'find', 'hidethe', 'white', 'eye', 'dry', 'upleaving', 'stare', 'strained', 'huntedmuscle', 'throat', 'relax', 'give', 'upto', 'live', 'smile', 'ever', 'want']"
37.0,29. jún 2008,karlmaður,Remember the love that was lostfought and found at all costthe smiles in the darkthe glaring looks in the parkDo you remember the days of oldwhen the days never got coldthe sun burned so brightand we felt so lighti donti canti wonti was never meant tooNever meant to see the lightbut to live during the nightor to feel the love i never lostbut threw away at such high costthe glaring eyes were but my owni never felt so aloneto keep the loved one in my armswas to only bring her to harmmy hell was mine and mine alonetoo carry and to roamThe battles i fought were never seenas if they had never beenbut my scars were there for all to seebut only meant something to me.,151,151,0.0,0.5584,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['know', 'eye', 'tell', 'lie', 'smile', 'get', 'lose', 'awhile', 'face', 'beat', 'vein', 'hear', 'chain', 'nee', 'mind', 'heart', 'entwine', 'cause', 'know', 'wound', 'several', 'scar', 'lead', 'seal', 'heavy', 'bar', 'soul', 'tear', 'sit', 'piece', 'heart', 'watch', 'fall', 'apart']"
37.0,29. mar 2008,karlmaður,"The mind wondersthe hart pondersthe mouth is silentthe eyes get violent Silence grips mei breath freei have no needsand the skin bleeds as day breaksdo i have what it takesthe fear so strongthis took too long i become drouzymy eyes become heavymy arms so weakthe future so bleak no reason, no tearsno cries, no fearscold shivers hit mesoon im free the moment diesin the still of the nighti say my good byesmy fist clamp so tight there i layin the coldforever to staynever to grow old.",152,152,1.0,0.5897,"feel, make, life, day, die, live, give, thing, find, cry","['world', 'awful', 'know', 'thing', 'make', 'cry', 'live', 'want', 'die', 'talk', 'start', 'cry', 'treat', 'disrespect', 'know', 'day', 'pay', 'back', 'live', 'want', 'die', 'talk', 'start', 'cry', 'heart', 'take', 'take', 'will', 'kill', 'promise', 'will', 'day', 'time', 'bear', 'end', 'freddy', 'come']"
,18. júl 2007,,"Something so graceful flew on my fingersoothing and softly he looked to my eyesIt was the most beautiful talented singertipped with his beak and then said goodbye.The sun took a bow for the bird in the foresttrack of her rays laid down on earths floorIn wonder I was about my friends tree nestwhere was the entrance where was the door ?Then I felt someone touching my shouldertalking so gently and ever so lowFairies, my friends became even bolderfollowed me closely and showed me the glow.They led me deep in forest down to the pondtickled my nose as they flew all aroundSparkles of dust came down from their wingssuddenly I saw the most beautiful things.I gazed at the pond where the sun held her glorygracefully shone for the birds and the beesmy talented singer, and this little storythank you for listening , look to the trees !",153,153,1.0,0.5074,"feel, make, life, day, die, live, give, thing, find, cry","['thing', 'see', 'thing', 'seem', 'burn', 'leftto', 'eye', 'returnall', 'go', 'fade', 'throw', 'hurt', 'think', 'never', 'seem', 'stay']"
,24. jan 2006,,"You broke my heart and left me to die.Our life torn apart I've lived in a lie.Something so cherished changed over nightOh- what a feeling in the deep darkest night.Used to believe that love was so strongnever felt lonely or left without wordsThere is something so terribly wrongin a heart of human, the pain is the sword.I went through the stargate of Heavens Door then God came to rescue my soul from the FALL.He showed me what is the most important of allto help and to heal, and to love evermore.",154,154,1.0,0.5477,"feel, make, life, day, die, live, give, thing, find, cry","['pothead', 'really', 'think', 'right', 'thing', 'spending', 'day', 'pipe', 'handswallowe', 'pain', 'playing', 'end', 'fallyou', 'fall', 'ground', 'pothead', 'hit', 'wall', 'really', 'believe', 'live', 'fast', 'die', 'young', 'really', 'want', 'final', 'song']"
,15. nóv 2005,,"When I look to the future and think about you The golden hair Maiden in all that you do The shining surrounds your being so bright Flowers and trees bathe in your shimmering light.You are the Angel of Heaven and Earth God blessed you at the moment of birth He looks after you and all those we Love His sign is the fluttering wings of a Dove.Whenever the Angels sing to His PraiseRemember the Rainbow born in His faceYou are the daughter of the Living LightThat is the most wonderful sight.Take these words and know that I’m hereA thought away, always so near.I love you my angel more than words could sayI wish you the most wonderful “Christmas Day”. With all my Love to you. 17/11/04.Runa",155,155,1.0,0.5354,"feel, make, life, day, die, live, give, thing, find, cry","['threethousand', 'feetabove', 'groundbite', 'lipyour', 'arm', 'wide', 'let', 'golet', 'golet', 'go', 'falland', 'feel', 'bulletcutte', 'airfeele', 'speedthe', 'adrenaline', 'highfor', 'land', 'headcrunche', 'bodyyour', 'neck', 'brokenyour', 'wing', 'heart', 'brokennobody', 'see', 'anymoresomebody', 'step', 'blood', 'really', 'people']"
, 4. nóv 2005,,"I wish upon a star that life could be more givingmiracles of love for all those who are livingI wish that you and me can understand the leavingthe heavy pain we feel in our grieving.Our life is forever touched when they come to earthhow come they leave us , even before birth ?May the angels watch over you, my loving little soulhelp your parents, my daughter to be whole !. I saw you in my dream, you stood so close to methe living light of hope, we were waiting to hug, to see.May God be with us all, on our different Paths of Livingand lead us to be strong and forever Giving.Runa febuary 2005",156,156,1.0,0.5009,"feel, make, life, day, die, live, give, thing, find, cry","['see', 'burn', 'soul', 'silent', 'mind', 'mislead', 'fault', 'voice', 'hate', 'namei', 'forgive', 'never', 'willstrange', 'thing', 'love', 'stilltoo', 'little', 'latehow', 'could', 'let', 'slip', 'still', 'remember', 'yesterdaytake', 'life', 'crazy', 'demandswhy', 'dieyou', 'leave', 'tear', 'crymaybe', 'destiny', 'maybe', 'little', 'latei', 'love', 'promise', 'never', 'need', 'angel', 'still', 'love', 'ghosti', 'think', 'hour', 'daywishing', 'never', 'go', 'go', 'crazy', 'little', 'take', 'away', 'walk', 'memory', 'forget', 'voicei', 'find', 'reason', 'end', 'reach', 'self', 'build', 'wish', 'seekeep', 'pull', 'apart', 'waht', 'leave', 'still', 'feel', 'way', 'last', 'fall', 'cry', 'end', 'can', 'grasp', 'false', 'hope', 'let', 'go', 'life', 'longer', 'cope', 'feel', 'want', 'stay', 'scream', 'inside', 'can', 'say', 'horror', 'see', 'forever', 'stick', 'pain', 'can', 'leave', 'silence', 'overtakea', 'life', 'can', 'continue', 'fake', 'still', 'much', 'left', 'life', 'already', 'forsake', 'pain', 'feel', 'mak', 'seem', 'unreal', 'dream', 'final', 'dealha', 'leave', 'reveal', 'life', 'lose', 'charm', 'lead', 'back', 'harm', 'retreat', 'void', 'mind', 'many', 'nameless', 'thought', 'leave', 'life', 'longer', 'want', 'find', 'can', 'bring', 'back', 'inside', 'continue', 'fall', 'use', 'tuck', 'noone', 'hear', 'failure', 'call', 'backto', 'stop', 'heart', 'track', 'way', 'head', 'still', 'can', 'let', 'go', 'say', 'wish', 'death', 'always', 'feed', 'untill', 'thing', 'leave', 'dead', 'feel', 'deep', 'deep', 'one', 'understand', 'feel', 'boyl', 'sense', 'hand', 'get', 'see', 'quite', 'time', 'still', 'pray', 'fine', 'forget', 'time', 'spend', 'together', 'know', 'remember', 'forever', 'face', 'become', 'faint', 'still', 'remain', 'meet', 'girl', 'fall', 'love', 'always', 'remain', 'dove', 'long', 'wait', 'find', 'fate', 'know', 'short', 'resist', 'beautiful', 'smile', 'hope', 'talk', 'much', 'way', 'feel', 'heart', 'huge', 'fan', 'take', 'stay', 'heart', 'die', 'long', 'keep', 'apart', 'dream', 'eye', 'awayin', 'fantasy', 'misty', 'sleep', 'heart', 'despair', 'secret', 'promise', 'find', 'wait', 'golden', 'woode', 'walk', 'together', 'hand', 'hand', 'talk', 'hero', 'give', 'love', 'come', 'time', 'riseillusion', 'fade', 'away', 'lose', 'hold', 'depth', 'fire', 'burn', 'image', 'lock', 'await', 'still', 'soul', 'love']"
,13. okt 2005,,"When I look to heavens door to see the angels playthey come with love and open arms and invite me to stay.Forever in the love and light, in the healing rayangels gather all around to help us every day. Their work is to lend a helping hand and keep us safe from harmalways near to heal the pain that consumes us like a swarm.Hope and everlasting love is the hugging armin their loving care we feel always safe and warm. Many people walk alone and never see the lighteven though it is surrounding them and shining very bright,they close their eyes and choose to fight in the endless night. My wish for you my dearest friend is to find the light aboveto feel the peace inside your heart and fill it up with love.God is always by your side his sign “ the flying dove” fluttering wings in the silent night reaches high above.",157,157,1.0,0.5323,"feel, make, life, day, die, live, give, thing, find, cry","['know', 'love', 'belong', 'hopenow', 'wish', 'could', 'make', 'rightand', 'stop', 'say', 'wonder', 'think', 'heart', 'diewithout', 'love', 'decide', 'time', 'give']"
, 8. okt 2005,,"This is where my life is, I hope you can find it. Look there on the left of it, the suitcase. It´s filled with memories, forgetable faces and someplaces I go to hide. I see you and everyone else walking past my hiding place ´cause you can´t see me. no one can, not anymore. But I still give directions to where my life is, and again I open my suitcase just in case someone might be curious enough to look inside. You see, this is where my life is, I hope you can find it, I really do.. —–",158,158,0.0,0.5095,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['dear', 'hair', 'fall', 'skin', 'peel', 'think', 'sleep', 'eat', 'live', 'day', 'blur', 'mess', 'quick', 'glare', 'unspoken', 'word', 'sharp', 'bladesand', 'red', 'river', 'run', 'armbecause', 'word', 'bullet', 'ste', 'make', 'pretend', 'suppose', 'suppose', 'perfect', 'pretender', 'poser', 'fingernail', 'ment', 'tear', 'wipe', 'bite', 'fingernail', 'cry', 'okay', 'life', 'great', 'great', 'great', 'fine', 'fine', 'ask', 'blood', 'arm', 'soul', 'mess', 'legally', 'insane', 'emotionally', 'paralyzed', 'murmur', 'brain', 'think', 'mind', 'clear', 'wish', 'keep', 'head', 'high', 'foot', 'ground', 'hold', 'breath', 'make', 'sound', 'stay', 'calm', 'stand', 'still', 'soon', 'willfind', 'peace', 'never', 'find', 'hate', 'schooland', 'rain', 'much', 'eventually', 'kill', 'heror', 'kill', 'let', 'see', 'happen', 'first', 'wish']"
,18. mar 2005,,"Turn on the tellyno channels no choiceonly white noisefilling your earsand empty eyesso you can´t disguiseyour dreary lonelyness.Douse it in some alcoholthat leaves you stone cold,but you pour some morejust to be sure´cause there is no other waybut down,at least today —–",159,159,0.0,0.5895,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['spoken', 'word', 'need', 'hear', 'let', 'flow', 'know', 'spin', 'round', 'round', 'world', 'turn', 'side', 'hear', 'inner', 'voice', 'seek', 'soul', 'speak', 'open', 'door', 'always', 'way', 'full', 'love', 'light', 'great', 'big', 'needthere', 'always', 'way', 'know', 'inner', 'voice', 'seek', 'soul', 'way', 'outinside', 'way', 'round', 'round', 'side', 'world', 'spin', 'round', 'chaos', 'know', 'soul', 'great', 'big', 'need', 'way', 'dualism', 'dilemma', 'confusion', 'world', 'chaos', 'always', 'way', 'confusion', 'chaos', 'want', 'breakout']"
,24. apr 2004,,"Is there any sensefor creating,a stir through lifewith added flavourmoving from the bottom,so it won´t burnor end upas stale remaintsof untaken chances. —–",160,160,1.0,0.6188,"feel, make, life, day, die, live, give, thing, find, cry","['black', 'coffee', 'pill', 'drive', 'hillshypo', 'manic', 'long', 'lastslowly', 'kill', 'mewhy', 'let', 'freei', 'burn', 'inside', 'plane', 'collide', 'crashthen', 'come', 'panic', 'depress', 'trucedark', 'fear', 'full', 'pain', 'make', 'insanesuffere', 'wish', 'dreami', 'scream', 'inside', 'plane', 'collide']"
,26. ágú 2002,,"Veg salt milli thessa heims og annarslitill drengur eftir steinunumrennur daggardropi milli draumaur thessum heimi yfir i hinnog fellur sem tar a koddan minn.Eg bidst afsokunar a skorti 'a islenskum stofum, er a lan setri med illa uppsettri tolvu hehe. —–",161,161,0.0,0.6178,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['rythymnous', 'twine', 'release', 'spine', 'give', 'sip', 'smooth', 'taste', 'wine', 'lip', 'one', 'soul', 'goal', 'describe', 'beauty', 'whole', 'think', 'never', 'realize', 'thought', 'feeling', 'synchronize', 'dumb', 'thump', 'pump', 'brake', 'twice', 'ice', 'chest', 'need', 'rest', 'sore', 'conchiousness', 'thine', 'eye', 'defy', 'gravity', 'disguise', 'dumb', 'thump', 'ground', 'dump', 'thump', 'soft', 'landing', 'understanding', 'sound', 'make', 'eye', 'make', 'mistake', 'contact', 'lip', 'contact', 'contact', 'beautiful', 'mesmerize', 'soft', 'wet', 'smooth', 'surprisingly', 'surprising', 'heart', 'start', 'see', 'reality', 'eternal', 'moment', 'happen', 'last', 'night', 'fingertip', 'second', 'touch', 'thine', 'soft', 'fairy', 'lip', 'cover', 'shadow', 'shine', 'second', 'eletrical', 'line', 'mind', 'together', 'laugh', 'fiery', 'wood', 'stab', 'tree', 'flower', 'magical', 'power', 'minute', 'seem', 'stuff', 'hour', 'forget', 'lie', 'naked', 'memory', 'loss', 'pretty', 'picture', 'medicine', 'mixture', 'boile', 'mirror', 'image', 'leafed', 'clover']"
34.0,30. okt 2007,kvenmaður,"The girl. She's the girl walking down the street,with the biggest worries on her shoulder.She has no one to lean on to rest her little feet.She need so badly to have someone hold her.Her skirt is dirty and her sweather is torn,her old shoes are shaggy and outworn.In her face you can see her lifes biggest fears,her eyes show the worlds darkness reflecting in her tears. She hides from the sun and stays in the shadow,she looks away and keeps her head low.She wants to try standing up from her pains,try to use the strengths she believes she has in her veins. She's the girl walking down the street,she is afraid, unable to hear her little heart beat.In her heart she keeps her long lost dreams,and the memory of her life once filled with big means.",162,162,0.0,0.5368,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['feel', 'stuff', 'upeye', 'glaze', 'open', 'brain', 'burn', 'shut', 'ultra', 'violet', 'raze', 'rape', 'friendly', 'chantsoof', 'morbid', 'self', 'seal', 'move', 'checkmateunable', 'stand', 'see', 'seem', 'highcan', 'control', 'hand', 'lead', 'demisethe', 'look', 'get', 'help', 'liehate', 'see', 'corner', 'eyea', 'slowly', 'try', 'run', 'stopback', 'ache', 'knee', 'shake', 'eye', 'popi', 'look', 'around', 'breate', 'heavy', 'see', 'watce', 'care']"
34.0,25. maí 2007,kvenmaður,"Why is my mind filled with doubts?Why am I questioning my abouts?Why are my guts just up in a binge?Why is my Braveheart falling to an inch? What is at the end of that door?Will I be happy or will I be sore?Will I be the star of success?Will I be the fool who accomplishes less? Is there a reason for my fear?Is the end of the era coming near?Should I shout or should I scream?Or should I follow and chaise my dream? All I have are questions and doubts.The reason might be my big abouts.I wont take less when I can take moreI wont be the person with the heart sore. I guess I don't need the good luck speech. All I need is my own unleash.I need to believe in my strengthsIt will take me to the longest lengths. The real Braveheart goes and faces its fears.It goes along despite the tears. It keeps on the path until life is clear.It wont say “no, the end is near”. Braveheart I am and Braveheart I'll be.",163,163,0.0,0.5572,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['softness', 'slip', 'slowly', 'downthe', 'texture', 'kind', 'sticky', 'unheard', 'hiss', 'soundeye', 'softly', 'reflectingon', 'marble', 'skintear', 'salty', 'commited', 'sini', 'itquestion', 'feeling']"
34.0,12. apr 2007,kvenmaður,"I am dreaming todayI am happyI am sureI am confidentI am strongI am motivated!! I dream of happinessI dream of colors and sunNo pain, no messThere will be heaps of fun!I know I wont missBecause my dreams I cuddle and kissI am sure because it's meI am strong and I know what will be. There's a fire burning insideIt is keeping me warmI can't keep it in, can't hide! It puts on the alarmThe one who tells me to fight: “Take action, take actionYou found the affection!!”..so I just might!Its giving me the powerThat little red flowerIt pushes me further and further. I'll tell u what I'm about! I will follow my dreamsI'm aware of my means I have a lesson to teachI will practice my preach! There is no stopping me My lesson, my means, my dreams will be!! I will make the differenceI will be the starThere has been a big fenceI have crossed it and am aiming farI aim for the big successI will stop for nothing less!! Supriya.",164,164,0.0,0.5281,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['day', 'mourn', 'day', 'many', 'tear', 'warm', 'may', 'morning', 'suppose', 'happen', 'yet', 'mean', 'perfect', 'baby', 'boy', 'god', 'great', 'gift', 'happy', 'expression', 'beautiful', 'smile', 'teach', 'beauty', 'think', 'vile', 'wish', 'could', 'better', 'wish', 'show', 'much', 'care', 'love', 'son', 'perfect', 'way', 'god', 'great', 'gift', 'give', 'morning']"
34.0,10. apr 2007,kvenmaður,"One of those days. Today is like one of those days. The day I am not set to amaze.The day that turns into a phase.The day I don't feel strongThe day I don't feel I belong.The day I get hopeless,The day I get restlessThe day I cant see forward.The day my hope fades,The day my beliefs waits.The day I forget whyThe day I just want to die. It's one of those days When my spirit is on the low,When I cant remember howWhen I feel like I'm just about to fall,When I don't know who to call.When I hope for a better tomorrow,When I want someone else's life to borrow. It's one of those days I just hang around at home,I turn off my phone.I push everyone away.I isolate myself to cause no harmIts like sending myself to abandoned farm. I am afraid of saying something wrong,I am afraid I wont belong.I am afraid of loosing my friends,I am afraid no one will understandI just push them all away and wait. Those days have turned into weeks,Those weeks are becoming months.Those days are becoming so long.Those days go on and on.With everyday going by,My heart and soul says hi!In hope of my spirit ever to knowledge,In hope for my recovery. Maybe this day will be different,Where everything gets back to normalWhen I finally remember why. Maybe this is the dayI sit from my bed and say, yes!“Now I know, now I remember!”Its just like last September,When I was chasing my dreamsWhen I knew my means. But today is one of those days.Where my heart plays tricks,The game called hide and seek, Shame on you, peek apoo…“I cant find you, where are you?” “Use you brain.. foolwhen I'm lost, go find me!Look into your soul,If I'm lost, where would I be?” Inside I scream for helpBut with out knowing why,I close my eyes and hope for it to go by. It's just one of those days. Supriya.",165,165,1.0,0.5176,"feel, make, life, day, die, live, give, thing, find, cry","['live', 'youdrive', 'mad', 'trymiss', 'hold', 'handgette', 'hard', 'crybeen', 'shed', 'blue', 'tearsfor', 'month', 'endfeel', 'half', 'yearshave', 'spend', 'grain', 'parch', 'sky', 'spell', 'cloud', 'daytwinkle', 'star', 'nightbut', 'really', 'miss', 'youthough', 'word', 'usingmay', 'reach']"
30.0, 7. feb 2008,kvenmaður,"My life seems so dull sometimes so incomplete. I get so lonely sometimes, I long for you my sweet. I just can't figure you out, what is it that you want? I wish I could be the one to give it to you… The things you say imply you don't but the things you do say that you do. What am I supposed to read out of it? Is there a secret message hidden in there, or is it just my imagination hoping there is? I feel like I'm worth nothing in your eyes, just another fuck. You act like your looking for something better, what is wrong with what I have to offer? Sometimes I get so lonely, Sometimes I'm decaying, Sometimes my life is fading, Sometimes I'm invisible Sometimes you see me I am nobody in your eyes I am nothing in your eyes You're looking for something better what is it? I wish I was somebody in your eyes I wish I was something better in your eyes I wish you'd show me some interest I wish you'd want me Just look me in the eyes and tell me: that sometimes I'm somebody in your eyes that sometimes I'm the best that sometimes you're interested that sometimes you want me Because I get so nervous around you can't breathe I'm so afraid of denial that I can't even tell you this Just sitting here, hoping, that possibly you'd stumble upon this poem and realize I'm talking about you. If you do and you don't want me please bring it to me gently because right now I'm so fragile that I could break into a million pieces and get blown away with the wind. Don't hurt my feeling… I just wish I was worth something in your eyes They Are Infected,",166,166,1.0,0.5263,"feel, make, life, day, die, live, give, thing, find, cry","['say', 'see', 'smile', 'everydayif', 'feel', 'could', 'could', 'feel', 'keep', 'decide', 'time', 'give']"
29.0,30. nóv 2007,karlmaður,I wish I could tell youthe truth about mehow I fell in love with youand how the feeling still stays in meI can't tell you a lieor say how I feelcause I think you will laughand tell everybody the only thing I knowis that I like youmore then everything I seein the world every day,167,167,0.0,0.6075,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['stare', 'darkness', 'hope', 'flicker', 'dream', 'eye', 'deceive', 'fault', 'impatience', 'self', 'gratification', 'cause', 'little', 'flicker', 'love', 'merely', 'comfortedby', 'vaguely', 'remember', 'flame', 'stream', 'likea', 'river', 'darkness', 'undeserve', 'may', 'dare', 'dream', 'ofbeholding', 'empty', 'shellwhich', 'ecoe', 'uncertainty', 'leave', 'room', 'piningand', 'want', 'anew', 'forgive', 'give', 'thee', 'give', 'shall', 'give', 'forthat', 'much', 'love', 'shall', 'always', 'want', 'thought', 'bring', 'despair', 'beautiful', 'thing', 'haveseen', 'eye', 'can', 'describe', 'smell', 'hair', 'mostwonderful', 'smell', 'smell', 'voice', 'bring', 'tear', 'eye', 'soothe', 'hurt', 'cell', 'body', 'truly', 'never', 'hope', 'way', 'shall', 'strive', 'tohonour', 'gift', 'accept', 'none', 'less', 'never', 'shall', 'shall', 'bereft', 'permittedto', 'call', 'unfair', 'forgive', 'ment', 'none', 'fault', 'dearest', 'dearest']"
35.0,24. nóv 2007,karlmaður,"Mixed emotions fill my headHappiness, regret,Excitement, fearTime passed by so quickly,faster than I could have imagined. For so long I waited for this momentA year turned into months,months into weeks,weeks into days. My flight is tomorrow morningThe ten-thirty to Boston, two layoversAnd then I’ve arrived to Huntington,my new home for a year.As each day goes by, the doubtful feeling increased,Am I doing the right thing?Leaving my family and friends behindAnd moving a continent away?I must not think this wayI can’t dwell on the negatives.The time that lies ahead is a promising timeSo many things are yet to be discoveredNew friends, fresh adventuresPeople say it’s the opportunity of a lifetimeI’d be a fool not to take itIt will be fun, I will make everyone proudAnd I will return in MayWith similar feelings as I have nowBut I will feel satisfactionIn knowing how much I’ve grown. Home is where your bacon is",168,168,0.0,0.5147,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['sit', 'bedroom', 'windowwondering', 'get', 'want', 'make', 'sleep', 'foreveri', 'want', 'taste', 'touch', 'skinimmortalize', 'perfect', 'momentdress', 'brush', 'youtaste', 'lip', 'carea', 'make', 'lovei', 'remember', 'pastbut', 'forgive', 'togeath', 'lasti', 'know', 'love', 'mebecause', 'set', 'fucking', 'fuck', 'allway', 'dream', 'perfect', 'thing', 'never', 'look', 'wayi', 'know', 'sayand', 'growi', 'hateinside', 'mecome', 'rudhe', 'fuck', 'voice', 'head', 'start', 'say', 'lienow', 'voice', 'head', 'really', 'stand', 'go', 'fuck', 'think_different', 'truly', 'show']"
35.0,23. nóv 2007,karlmaður,"At the end of the autumn dayThe cold breeze relaxes their mindAnd soothes their soul.In a nearby tree,Two birds softly caress each other asThe sun slowly makes way for the moon. A man and a womanSide by side,Arm in arm.Walk together down the pathway.They’ve known each other only a short time,Mere weeks,But by the end of the first class,He knew. FriendsCould they be more?His mind wanders, as he looks deep withinTo find the courage he needs,To revealFeelings buried in his heart. The moon is fullStars light up the skyThe moment is here,Take it! He grabs her hand,Looks in her eyes,A moment of silence, feels eternalUntil, finallyHe is at ease,The words he longed to say,Come at last.“I love you”“I love you with all my heart”. A smile lights up her faceShe whispers:“I love you too.” Home is where your bacon is",169,169,1.0,0.5493,"feel, make, life, day, die, live, give, thing, find, cry","['alone', 'sit', 'wait', 'tomorrow', 'depressed', 'camping', 'world', 'sorrow', 'sailing', 'forward', 'ship', 'sadness', 'long', 'must', 'go', 'world', 'madness', 'pain', 'suffer', 'still', 'blood', 'see', 'hope', 'bright', 'day', 'well', 'world', 'well', 'way']"
,27. júl 2001,,"Family things are kind a strange things. You don't love it when you've got it, and you wanna go away. As soon as you go away, you wanna go back. What is that thing that draws you back. That makes you miss them. You keep trying to go away, but you're always forced to go back. By some inner strength you don't know. One day you realise how much you love them, and you don't wanna go away, to find some inner peace. You want to spend the life with the people you love. Before it's to late and someone has to go, go to the power of the life. And you can never see eachother again. Try to find your real family, before it's to late, cause you don't want them, to live without you, not knowing the truth, try and find your family. spotta/01",170,170,1.0,0.5328,"feel, make, life, day, die, live, give, thing, find, cry","['abyssmally', 'aware', 'lonely', 'become', 'beg', 'plead', 'insanity', 'jury', 'judge', 'momhope', 'people', 'give', 'sense', 'right', 'amenseand', 'friendship', 'may', 'findthe', 'gun', 'shoot', 'disposed', 'sea', 'body', 'bury', 'think', 'drag', 'lungskicking', 'imagine', 'foesmonitored', 'sure', 'think', 'ever', 'become', 'mebut', 'sure', 'beat', 'stuckserve']"
